FECHA|ESCENARIO|VALOR|DIRECCION|CONFIANZA
2025-05-09|ALCISTA|430.40|ALZA|60%
2025-05-09|BAJISTA|420.54|BAJA|78%
2025-05-09|BASE|425.47|BAJA|69%
2025-05-09|CONSERVADOR|426.22|BAJA|65%
2025-05-12|BASE|428.11|BAJA|78%
2025-05-12|ALCISTA|433.03|ALZA|56%
2025-05-12|BAJISTA|423.19|BAJA|86%
2025-05-12|CONSERVADOR|429.18|BAJA|65%
2025-05-13|BASE|430.05|BAJA|95%
2025-05-13|ALCISTA|434.98|ALZA|55%
2025-05-13|BAJISTA|425.13|BAJA|95%
2025-05-13|CONSERVADOR|432.52|BAJA|64%
2025-05-14|BASE|428.71|BAJA|94%
2025-05-14|ALCISTA|433.57|ALZA|55%
2025-05-14|BAJISTA|423.93|BAJA|95%
2025-05-14|CONSERVADOR|430.21|BAJA|69%
2025-05-15|BASE|435.32|BAJA|81%
2025-05-15|ALCISTA|440.17|ALZA|55%
2025-05-15|BAJISTA|430.51|BAJA|88%
2025-05-15|CONSERVADOR|436.27|BAJA|70%
2025-05-16|BASE|429.91|BAJA|82%
2025-05-16|ALCISTA|434.93|ALZA|55%
2025-05-16|BAJISTA|425.26|BAJA|90%
2025-05-16|CONSERVADOR|430.99|BAJA|70%
2025-05-19|BASE|430.94|BAJA|68%
2025-05-19|ALCISTA|435.88|ALZA|55%
2025-05-19|BAJISTA|426.21|BAJA|77%
2025-05-19|CONSERVADOR|431.54|BAJA|70%
2025-05-20|BASE|430.5|BAJA|80%
2025-05-20|ALCISTA|435.44|ALZA|55%
2025-05-20|BAJISTA|425.78|BAJA|87%
2025-05-20|CONSERVADOR|431.48|BAJA|70%
2025-05-21|BASE|430.2|BAJA|76%
2025-05-21|ALCISTA|435.08|ALZA|55%
2025-05-21|BAJISTA|425.43|BAJA|83%
2025-05-21|CONSERVADOR|431.03|BAJA|70%
2025-05-22|BASE|429.57|BAJA|86%
2025-05-22|ALCISTA|434.41|ALZA|55%
2025-05-22|BAJISTA|424.78|BAJA|89%
2025-05-22|CONSERVADOR|430.7|BAJA|69%
2025-05-23|BASE|428.58|BAJA|77%
2025-05-23|ALCISTA|433.39|ALZA|55%
2025-05-23|BAJISTA|423.76|BAJA|95%
2025-05-23|CONSERVADOR|429.79|BAJA|60%
2025-05-26|BASE|433.41|BAJA|73%
2025-05-26|ALCISTA|438.3|ALZA|55%
2025-05-26|BAJISTA|428.66|BAJA|79%
2025-05-26|CONSERVADOR|434.13|BAJA|70%
2025-05-28|BASE|434.86|BAJA|89%
2025-05-28|ALCISTA|439.72|ALZA|55%
2025-05-28|BAJISTA|430.11|BAJA|89%
2025-05-28|CONSERVADOR|436.06|BAJA|69%
2025-05-29|BASE|436.29|BAJA|88%
2025-05-29|ALCISTA|441.08|ALZA|55%
2025-05-29|BAJISTA|431.51|BAJA|95%
2025-05-29|CONSERVADOR|438.02|BAJA|60%
2025-05-30|BASE|434.72|BAJA|82%
2025-05-30|ALCISTA|439.65|ALZA|55%
2025-05-30|BAJISTA|430.06|BAJA|87%
2025-05-30|CONSERVADOR|435.76|BAJA|69%
2025-06-02|BASE|434.99|BAJA|68%
2025-06-02|ALCISTA|438.89|ALZA|55%
2025-06-02|BAJISTA|431.23|BAJA|75%
2025-06-02|CONSERVADOR|435.59|BAJA|69%
2025-06-03|BASE|435.88|BAJA|76%
2025-06-03|ALCISTA|439.77|ALZA|55%
2025-06-03|BAJISTA|432.17|BAJA|82%
2025-06-03|CONSERVADOR|436.7|BAJA|69%
2025-06-04|BASE|434.73|BAJA|85%
2025-06-04|ALCISTA|438.56|ALZA|55%
2025-06-04|BAJISTA|430.98|BAJA|87%
2025-06-04|CONSERVADOR|435.8|BAJA|69%
2025-06-05|BASE|436.2|BAJA|83%
2025-06-05|ALCISTA|440.08|ALZA|55%
2025-06-05|BAJISTA|432.52|BAJA|86%
2025-06-05|CONSERVADOR|437.24|BAJA|69%
2025-06-06|BASE|443.47|BAJA|83%
2025-06-06|ALCISTA|447.37|ALZA|55%
2025-06-06|BAJISTA|439.81|BAJA|86%
2025-06-06|CONSERVADOR|444.51|BAJA|69%
2025-06-09|BASE|440.71|BAJA|94%
2025-06-09|ALCISTA|444.55|ALZA|55%
2025-06-09|BAJISTA|437|BAJA|91%
2025-06-09|CONSERVADOR|442.14|BAJA|69%
2025-06-10|BASE|444.24|BAJA|83%
2025-06-10|ALCISTA|448.08|ALZA|55%
2025-06-10|BAJISTA|440.54|BAJA|86%
2025-06-10|CONSERVADOR|445.24|BAJA|69%
